Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,67,78,88,78,77,71,76,73,70,71,63,65
2001,72,85,94,84,80,79,76,74,66,66,67,66
2002,66,84,90,86,88,84,82,90,82,77,73,70
2003,76,82,98,91,101,107,99,105,90,88,76,75
2004,89,102,123,109,115,105,96,102,94,101,84,83
2005,92,109,127,116,120,115,117,110,99,105,86,87
2006,89,88,108,100,102,98,83,88,80,74,71,71
2007,66,68,80,83,79,73,68,60,53,57,45,44
2008,44,48,49,49,49,45,43,38,35,32,27,26
2009,24,29,31,32,34,37,38,36,30,33,26,24
2010,24,27,36,41,26,28,26,23,25,23,20,23
2011,21,22,28,30,28,28,27,25,24,25,23,24
2012,23,30,34,34,35,34,33,31,30,29,28,28
2013,32,36,41,43,40,43,33,31,31,36,32,31
2014,33,35,39,39,43,38,35,36,37,38,31,35
2015,39,45,46,48,47,44,43,41,35,39,36,38
2016,39,45,50,55,53,50,54,46,44,46,40,39
2017,45,51,61,56,57,56,48,45,50,49,50,45
2018,48,54,66,61,62,56,52,47,46,43,44,38
2019,49,57,68,64,56,66,55,57,56,55,50,49
2020,59,63,59,52,64,79,85,81,77,78,61,63
2021,77,70,83,74,65,61,62,55,58,51,54,61
2022,70,71,68,56,58,48,44,51,44,43,41,47
